Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France,VINET,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France,Steven Buchanan,10248,1996-07-04 00:00:00.000,1996-08-01 00:00:00.000,1996-07-16 00:00:00.000,Federal Shipping,11,Queso Cabrales,14.00,12,0,168.00,32.38
Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France,VINET,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France,Steven Buchanan,10248,1996-07-04 00:00:00.000,1996-08-01 00:00:00.000,1996-07-16 00:00:00.000,Federal Shipping,42,Singaporean Hokkien Fried Mee,9.80,10,0,98.00,32.38
Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France,VINET,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France,Steven Buchanan,10248,1996-07-04 00:00:00.000,1996-08-01 00:00:00.000,1996-07-16 00:00:00.000,Federal Shipping,72,Mozzarella di Giovanni,34.80,5,0,174.00,32.38
Toms Spezialitäten,Luisenstr. 48,Münster,NULL,44087,Germany,TOMSP,Toms Spezialitäten,Luisenstr. 48,Münster,NULL,44087,Germany,Michael Suyama,10249,1996-07-05 00:00:00.000,1996-08-16 00:00:00.000,1996-07-10 00:00:00.000,Speedy Express,14,Tofu,18.60,9,0,167.40,11.61
Toms Spezialitäten,Luisenstr. 48,Münster,NULL,44087,Germany,TOMSP,Toms Spezialitäten,Luisenstr. 48,Münster,NULL,44087,Germany,Michael Suyama,10249,1996-07-05 00:00:00.000,1996-08-16 00:00:00.000,1996-07-10 00:00:00.000,Speedy Express,51,Manjimup Dried Apples,42.40,40,0,1696.00,11.61
Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,HANAR,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,Margaret Peacock,10250,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,1996-07-12 00:00:00.000,United Package,41,Jack's New England Clam Chowder,7.70,10,0,77.00,65.83
Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,HANAR,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,Margaret Peacock,10250,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,1996-07-12 00:00:00.000,United Package,51,Manjimup Dried Apples,42.40,35,0.15,1261.40,65.83
Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,HANAR,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,Margaret Peacock,10250,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,1996-07-12 00:00:00.000,United Package,65,Louisiana Fiery Hot Pepper Sauce,16.80,15,0.15,214.20,65.83
Victuailles en stock,"2, rue du Commerce",Lyon,NULL,69004,France,VICTE,Victuailles en stock,"2, rue du Commerce",Lyon,NULL,69004,France,Janet Leverling,10251,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,1996-07-15 00:00:00.000,Speedy Express,22,Gustaf's Knäckebröd,16.80,6,0.05,95.76,41.34
Victuailles en stock,"2, rue du Commerce",Lyon,NULL,69004,France,VICTE,Victuailles en stock,"2, rue du Commerce",Lyon,NULL,69004,France,Janet Leverling,10251,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,1996-07-15 00:00:00.000,Speedy Express,57,Ravioli Angelo,15.60,15,0.05,222.30,41.34
